URL_ID,positive_score,negative_score,polarity_score,subjectivity_score,average_sentence_length,percentage_complex_words,fog_index,average_words_per_sentence,complex_word_count,word_count,syllable_count_per_word,personal_pronouns_count,average_word_length
blackassign0001,6,1,0.7142856122449125,0.042682926569006546,15.92,0.12562814070351758,6.418251256281407,15.92,50,398,1.5025125628140703,4,4.208542713567839
blackassign0002,55,31,0.2790697641968632,0.11700680256189551,21.194805194805195,0.2028186274509804,8.55904952890247,21.194805194805195,331,1632,1.7506127450980393,6,4.882352941176471
blackassign0003,38,24,0.22580644797086374,0.10420168049714003,21.821428571428573,0.27986906710310966,8.840519055412674,21.821428571428573,342,1222,1.9615384615384615,13,5.490180032733225
blackassign0004,36,75,-0.35135134818602387,0.1881355929014651,23.80392156862745,0.2644151565074135,9.627334690053948,23.80392156862745,321,1214,1.8723228995057661,5,5.313014827018122
blackassign0005,21,8,0.4482758466111777,0.08262108238569492,19.666666666666668,0.19556714471968709,7.944893524554542,19.666666666666668,150,767,1.7027379400260756,6,5.073011734028683
blackassign0006,86,26,0.5357142809311225,0.10789980721782291,23.670454545454547,0.2539606337013922,9.569766071662377,23.670454545454547,529,2083,1.8622179548727797,6,5.381180988958233
blackassign0007,23,44,-0.3134328311427936,0.14470842301358872,17.83050847457627,0.19866920152091255,7.2116710704388725,17.83050847457627,209,1052,1.6948669201520912,1,4.769961977186312
blackassign0008,29,9,0.5263157756232691,0.08539325823507134,18.95744680851064,0.30303030303030304,7.704190844616377,18.95744680851064,270,891,2.006734006734007,3,5.590347923681257
blackassign0009,38,50,-0.13636363481404962,0.15658362961461988,19.210526315789473,0.30319634703196346,7.805489065128575,19.210526315789473,332,1095,1.989041095890411,3,5.53972602739726
blackassign0010,60,68,-0.06249999951171876,0.18631732141729648,22.0625,0.228328611898017,8.916331444759207,22.0625,403,1765,1.7172804532577903,8,4.836827195467422
blackassign0011,60,19,0.518987335202692,0.10519307575873092,23.29850746268657,0.25112107623318386,9.419851415567901,23.29850746268657,392,1561,1.8609865470852018,3,5.284433055733504
blackassign0012,80,24,0.5384615332840237,0.12380952366213152,23.417721518987342,0.20324324324324325,9.448385904892234,23.417721518987342,376,1850,1.7735135135135136,2,5.138378378378379
blackassign0013,38,13,0.49019606881968497,0.19245282946244216,27.625,0.22926093514328807,11.141704374057316,27.625,152,663,1.7662141779788838,3,5.108597285067873
blackassign0014,0,0,0.0,0.0,24.0,0.08333333333333333,9.633333333333333,24.0,2,24,1.375,0,4.125
blackassign0015,34,27,0.11475409647944104,0.10032894720340634,23.16949152542373,0.2121433796634967,9.352653962034891,23.16949152542373,290,1367,1.7271397220190197,7,5.059985369422092
blackassign0016,34,27,0.11475409647944104,0.10032894720340634,23.16949152542373,0.2121433796634967,9.352653962034891,23.16949152542373,290,1367,1.7271397220190197,7,5.059985369422092
blackassign0017,43,12,0.56363635338843,0.09838998193490164,20.0,0.2161290322580645,8.086451612903225,20.0,268,1240,1.739516129032258,5,4.986290322580645
blackassign0018,32,10,0.5238095113378688,0.08251473461195534,27.568181818181817,0.21269579554822754,11.11235104549202,27.568181818181817,258,1213,1.731244847485573,1,4.998351195383347
blackassign0019,58,6,0.8124999873046878,0.07901234558146623,20.210526315789473,0.21197916666666666,8.169002192982456,20.210526315789473,407,1920,1.6776041666666666,5,4.797916666666667
blackassign0020,0,0,0.0,0.0,9.5,0.15789473684210525,3.863157894736842,9.5,3,19,1.631578947368421,0,4.842105263157895
blackassign0021,22,47,-0.36231883532871256,0.13320463294748142,23.73469387755102,0.234737747205503,9.58777264990261,23.73469387755102,273,1163,1.763542562338779,6,5.0223559759243335
blackassign0022,12,10,0.09090908677685969,0.1286549700078657,17.11111111111111,0.16883116883116883,6.911976911976912,17.11111111111111,78,462,1.6493506493506493,6,4.612554112554113
blackassign0023,28,15,0.30232557436452157,0.06718749989501953,24.333333333333332,0.15198956294846705,9.794129158512721,24.333333333333332,233,1533,1.6164383561643836,7,4.610567514677104
blackassign0024,23,3,0.7692307396449716,0.09558823494269031,31.8,0.19811320754716982,12.79924528301887,31.8,126,636,1.6776729559748427,1,4.790880503144654
blackassign0025,19,11,0.26666665777777804,0.06944444428369341,46.56,0.1331615120274914,18.677264604810997,46.56,155,1164,1.529209621993127,6,4.359965635738831
blackassign0026,23,14,0.24324323666910172,0.08295964106959722,24.78048780487805,0.19488188976377951,9.990147877856732,24.78048780487805,198,1016,1.6624015748031495,2,4.707677165354331
blackassign0027,24,26,-0.03999999920000002,0.09451795823342542,27.92452830188679,0.14054054054054055,11.226027536970934,27.92452830188679,208,1480,1.5033783783783783,27,4.277702702702703
blackassign0028,32,25,0.12280701538935061,0.11377245486272963,32.30769230769231,0.18095238095238095,12.995457875457877,32.30769230769231,228,1260,1.6396825396825396,10,4.825396825396825
blackassign0029,2,0,0.99999950000025,0.1818181652892577,19.0,0.15789473684210525,7.663157894736843,19.0,3,19,1.5789473684210527,0,4.7368421052631575
